Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","004","Afghanistan","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","26227","A","Chiffre officiel"
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","7394","A","Chiffre officiel"
"TCL","Cultures et produits animaux","008","Albanie","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","3266","A","Chiffre officiel"
"TCL","Cultures et produits animaux","012","Algérie","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","19051","A","Chiffre officiel"
"TCL","Cultures et produits animaux","276","Allemagne","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","193759","A","Chiffre officiel"
"TCL","Cultures et produits animaux","024","Angola","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","1814","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","028","Antigua-et-Barbuda","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","35","A","Chiffre officiel"
"TCL","Cultures et produits animaux","682","Arabie saoudite","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","17495","A","Chiffre officiel"
"TCL","Cultures et produits animaux","032","Argentine","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","14940","A","Chiffre officiel"
"TCL","Cultures et produits animaux","051","Arménie","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","4169","A","Chiffre officiel"
"TCL","Cultures et produits animaux","040","Autriche","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","32714","A","Chiffre officiel"
"TCL","Cultures et produits animaux","031","Azerbaïdjan","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","5083","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","044","Bahamas","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","254","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","048","Bahreïn","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","282","A","Chiffre officiel"
"TCL","Cultures et produits animaux","050","Bangladesh","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","22281","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","112","Bélarus","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","9034","A","Chiffre officiel"
"TCL","Cultures et produits animaux","056","Belgique","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","207538","A","Chiffre officiel"
