Produit;Origine
Abats Comestible;Animale
Beurre, Ghee;Animale
Crème;Animale
Graisses Animales Crue;Animale
Lait - Excl Beurre;Animale
Oeufs;Animale
Poissons Eau Douce;Animale
Viande d'Ovins/Caprins;Animale
Viande de Bovins;Animale
Viande de Volailles;Animale
Viande, Autre;Animale
Animaux Aquatiques Autre;Animale
Cephalopodes;Animale
Crustacés;Animale
Huiles de Foie de Poisso;Animale
Huiles de Poissons;Animale
Mollusques, Autres;Animale
Perciform;Animale
Plantes Aquatiques;Animale
Poissons Marins, Autres;Animale
Poissons Pelagiques;Animale
Viande de Suides;Animale
Viande de Anim Aquatiq;Animale
Agrumes, Autres;Végétale
Aliments pour enfants;Végétale
Ananas et produits;Végétale
Bananes;Végétale
Bière;Végétale
Blé et produits;Végétale
Boissons Alcooliques;Végétale
Café et produits;Végétale
Coco (Incl Coprah);Végétale
Céréales, Autres;Végétale
Dattes;Végétale
Edulcorants Autres;Végétale
Feve de Cacao et produits;Végétale
Fruits, Autres;Végétale
Graines de coton;Végétale
Graines de tournesol;Végétale
Huil Plantes Oleif Autr;Végétale
Huile Graines de Coton;Végétale
Huile d'Arachide;Végétale
Huile d'Olive;Végétale
Huile de Colza&Moutarde;Végétale
Huile de Palme;Végétale
Huile de Soja;Végétale
Huile de Sésame;Végétale
Huile de Tournesol;Végétale
Légumes, Autres;Végétale
Légumineuses Autres et produits;Végétale
Maïs et produits;Végétale
Miel;Végétale
Millet et produits;Végétale
Miscellanees;Végétale
Noix et produits;Végétale
Olives;Végétale
Oranges, Mandarines;Végétale
Orge et produits;Végétale
Plantes Oleiferes, Autre;Végétale
Poivre;Végétale
Pommes et produits;Végétale
Pommes de Terre et produits;Végétale
Raisin;Végétale
Riz et produits;Végétale
Sucre Eq Brut;Végétale
Sucre, betterave;Végétale
Sucre, canne;Végétale
Sésame;Végétale
Thé;Végétale
Tomates et produits;Végétale
Vin;Végétale
Épices, Autres;Végétale
Alcool, non Comestible;Végétale
Arachides Decortiquees;Végétale
Avoine;Végétale
Bananes plantains;Végétale
Boissons Fermentés;Végétale
Citrons & Limes et produits;Végétale
Girofles;Végétale
Graines Colza/Moutarde;Végétale
Haricots;Végétale
Huile de Coco;Végétale
Huile de Germe de Maïs;Végétale
Huile de Palmistes;Végétale
Ignames;Végétale
Manioc et produits;Végétale
Oignons;Végétale
Palmistes;Végétale
Pamplemousse et produits;Végétale
Patates douces;Végétale
Piments;Végétale
Pois;Végétale
Racines nda;Végétale
Seigle et produits;Végétale
Soja;Végétale
Sorgho et produits;Végétale
Huile de Son de Riz;Végétale
Sucre non centrifugé;Végétale
