Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QCL","Cultures et produits animaux","004","Afghanistan","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","13573","A","Chiffre officiel"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","178634","I","Valeur imputée"
"QCL","Cultures et produits animaux","008","Albanie","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","7835","A","Chiffre officiel"
"QCL","Cultures et produits animaux","012","Algérie","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","136595","I","Valeur imputée"
"QCL","Cultures et produits animaux","276","Allemagne","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","160000","E","Valeur estimée"
"QCL","Cultures et produits animaux","024","Angola","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","36500","E","Valeur estimée"
"QCL","Cultures et produits animaux","028","Antigua-et-Barbuda","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","159","I","Valeur imputée"
"QCL","Cultures et produits animaux","682","Arabie saoudite","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","195119","I","Valeur imputée"
"QCL","Cultures et produits animaux","032","Argentine","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","118300","A","Chiffre officiel"
"QCL","Cultures et produits animaux","051","Arménie","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","3814","A","Chiffre officiel"
"QCL","Cultures et produits animaux","036","Australie","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","95012","A","Chiffre officiel"
"QCL","Cultures et produits animaux","040","Autriche","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","16736","I","Valeur imputée"
"QCL","Cultures et produits animaux","031","Azerbaïdjan","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","30473","A","Chiffre officiel"
"QCL","Cultures et produits animaux","044","Bahamas","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","3107","E","Valeur estimée"
"QCL","Cultures et produits animaux","048","Bahreïn","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","9134","A","Chiffre officiel"
"QCL","Cultures et produits animaux","050","Bangladesh","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","275183","A","Chiffre officiel"
"QCL","Cultures et produits animaux","052","Barbade","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","4871","I","Valeur imputée"
"QCL","Cultures et produits animaux","112","Bélarus","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","46000","E","Valeur estimée"
"QCL","Cultures et produits animaux","056","Belgique","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","26905","A","Chiffre officiel"
"QCL","Cultures et produits animaux","084","Belize","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","1638","I","Valeur imputée"
"QCL","Cultures et produits animaux","204","Bénin","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","20643","A","Chiffre officiel"
